month,idx_fut,stk_fut,idxopt_prem,idxopt_notional,stkopt_prem,stkopt_notional,days,idx_fut_adt,stk_fut_adt,idxopt_prem_adt,idxopt_notional_adt,stkopt_prem_adt,stkopt_notional_adt,cash_days,cash_turnover,cash_adt
2022-04,822531.45114,1693263.334,,193883600.59843525,,4947584.277000001,19.0,43291.12900736842,89119.12284210527,,10204400.031496592,,260399.17247368424,19.0,1393072.56,73319.60842105263
2022-05,902438.8759544999,1648830.45,,211935027.12222824,,4432461.43,21.0,42973.27980735714,78515.7357142857,,10092144.148677535,,211069.59190476188,21.0,1299254.9200000002,61869.28190476191
2022-06,849307.7135975,1474311.36,,240458115.41078648,,4046635.5300000003,22.0,38604.896072613636,67014.15272727273,,10929914.33685393,,183937.97863636364,22.0,1044028.04,47455.82
2022-07,735920.21078175,1563846.68,,227460476.74630052,,4863864.3100000005,21.0,35043.819561035714,74468.88952380951,,10831451.273633357,,231612.58619047623,21.0,1046321.4,49824.828571428574
2022-08,743534.7875712501,1639249.06,,265495252.7629545,,5482195.25,20.0,37176.7393785625,81962.45300000001,,13274762.638147725,,274109.7625,20.0,1271856.33,63592.8165
2022-09,934919.5170349999,1851510.94,,328855473.33000004,,6071313.26,22.0,42496.34168340909,84159.58818181818,,14947976.060454547,,275968.78454545455,22.0,1472099.6800000002,66913.62181818183
2022-10,718963.8462159999,1483115.48,,268999072.919999,,4021386.62,19.0,37840.20243242105,78058.70947368421,,14157845.943157842,,211651.92736842105,19.0,996471.99,52445.89421052631
2022-11,618745.395594,1636205.68,,302123229.229999,,5571825.65,21.0,29464.066456857145,77914.55619047619,,14386820.439523762,,265325.03095238097,21.0,1292791.45,61561.497619047615
2022-12,752728.6040325001,1541566.88,,414090241.0549177,,5409157.83935,22.0,34214.93654693182,70071.22181818182,,18822283.68431444,,245870.81087954546,22.0,1247635.02,56710.68272727273
2023-01,790762.1502944999,1594094.19,,417470771.7517407,,4867172.09,21.0,37655.34049021428,75909.24714285714,,19879560.5596067,,231770.0995238095,21.0,1088729.48,51844.26095238095
2023-02,776183.1883024999,1518191.45,,409115681.27244675,,5078814.53,20.0,38809.159415124996,75909.5725,,20455784.063622337,,253940.72650000002,20.0,1076055.84,53802.792
2023-03,874707.68750425,1428118.87,,488954045.18245876,,4415333.87,21.0,41652.7470240119,68005.66047619047,,23283525.961069465,,210253.99380952382,21.0,1105621.48,52648.641904761906
2023-04,487495.128651925,1269872.577346335,847273.0903696881,406010163.5510447,47948.162291739995,3980799.40997084,17.0,28676.18403834853,74698.38690272559,49839.59355115813,23882950.797120277,2820.480134808235,234164.6711747553,17.0,930933.72,54760.80705882353
2023-05,602355.8351330248,1696110.0922792053,1175999.3869679626,546564229.6661185,84227.07247487002,5968495.267908069,22.0,27379.810687864767,77095.91328541843,53454.517589452844,24843828.621187206,3828.5032943122733,271295.23945036676,22.0,1403030.83,63774.12863636364
2023-06,518654.61100312497,1670132.8138168452,1008484.7966417309,535605292.432992,91594.12729070001,6493816.81263067,21.0,24697.838619196427,79530.13399127834,48023.08555436814,25505013.92538057,4361.625109080953,309229.3720300319,21.0,1417305.6600000001,67490.74571428572
2023-07,589474.4339035001,1996640.65426759,1287667.5146162608,634954973.1147788,114889.915357725,7975112.379399924,21.0,28070.211138261908,95078.12639369477,61317.500696012416,30235951.10070375,5470.948350367857,379767.2561619011,21.0,1624075.2200000002,77336.91523809524
2023-08,611824.7275724,1972965.6013788348,1178660.3903823008,680918688.9638829,102804.766146445,7326378.909240145,22.0,27810.214889654544,89680.25460812886,53575.47229010458,30950849.498358313,4672.9439157475,333017.22314727935,22.0,1835810.77,83445.94409090909
2023-09,551668.8884126999,2039494.43,1135907.86164865,705529607.3797828,103149.06714815999,7378926.65,20.0,27583.444420634994,101974.7215,56795.39308243249,35276480.36898914,5157.453357408,368946.3325,20.0,1794945.46,89747.273
2023-10,505401.66282575,1894017.5772422298,1017002.7781790502,694477933.1617669,84111.22644856501,6519156.404341064,20.0,25270.0831412875,94700.8788621115,50850.13890895251,34723896.65808834,4205.561322428251,325957.82021705323,20.0,1443553.44,72177.67199999999
2023-11,478637.39304354996,1927121.36,923453.265591935,719137632.5546291,92658.27890772,6967743.43,21.0,22792.256811597617,91767.68380952382,43973.965028187384,34244649.16926805,4412.2989956057145,331797.30619047617,21.0,1594179.44,75913.30666666667
2023-12,667622.0496797,2524106.96,1317153.3473071516,886708926.0684114,180315.169835905,10175954.120000001,20.0,33381.102483985,126205.348,65857.66736535759,44335446.303420566,9015.75849179525,508797.70600000006,20.0,2273479.59,113673.97949999999
2024-01,851864.3511599749,2941230.58,1581147.635150285,998400802.9590845,177503.47883655503,10218202.059999991,22.0,38721.10687090795,133692.2990909091,71870.34705228568,45381854.67995839,8068.339947116138,464463.7299999996,22.0,2707030.36,123046.83454545453
2024-02,843706.3378485751,2969909.39,1613777.658751975,1000462763.521901,172160.0,10434751.370000001,21.0,40176.492278503574,141424.25666666668,76846.55517866548,47641083.97723338,8198.095238095239,496892.92238095246,21.0,2678735.08,127558.81333333334
2024-03,728658.9851964749,2645364.5480246353,1225697.2487779781,861735401.4514655,126668.67590177999,8672454.066047661,19.0,38350.47290507763,139229.71305392816,64510.381514630426,45354494.81323502,6666.772415883158,456444.9508446137,19.0,2029398.18,106810.43052631579
2024-04,696400.5212808499,3158915.04780697,1201989.607867254,876732662.3512802,155942.71922768498,9921344.732819185,20.0,34820.0260640425,157945.7523903485,60099.4803933627,43836633.11756401,7797.135961384249,496067.2366409592,20.0,2272962.95,113648.1475
2024-05,809204.435898925,3464429.8983681006,1443648.5442312378,935096151.0198061,186613.310189425,11034694.055540426,22.0,36782.019813587496,157474.0862894591,65620.38837414718,42504370.500900276,8482.42319042841,501577.0025245648,22.0,2637533.6700000004,119887.8940909091
2024-06,986068.2555374999,3662528.41018657,1646923.177572293,928988014.6962347,191369.90187996,11176801.191801712,19.0,51898.329238815786,192764.65316771422,86680.167240647,48894106.03664393,10072.100098945264,588252.6943053532,19.0,3132228.03,164854.10684210525
2024-07,830027.87804725,3832046.256320091,1476630.890923786,1075743906.158787,197877.28226602997,11927566.575143669,22.0,37728.53991123864,174183.9207418223,67119.58595108119,48897450.27994487,8994.42192118318,542162.117051985,22.0,3296724.85,149851.12954545455
2024-08,757374.768724325,3366329.697052225,1378687.70697145,1037113379.3398215,161999.44314075,11639467.95421575,21.0,36065.46517734881,160301.41414534405,65651.79557006905,49386351.397134356,7714.259197178571,554260.3787721785,21.0,2847505.0,135595.47619047618
2024-09,718433.827351975,3414842.1986048613,1337246.631334464,1111222190.7197847,174394.40210724497,12884059.892413495,21.0,34211.13463580833,162611.53326689816,63678.41101592686,52915342.415227845,8304.495338440236,613526.6615434998,21.0,2740057.79,130478.94238095239
2024-10,765132.317797975,3343183.84730641,1566274.885343074,1124417169.1424932,171994.02947627997,12468989.947048279,22.0,34778.741718089776,151962.90215029137,71194.31297013973,51109871.32465878,7817.910430739998,566772.2703203763,22.0,2514561.2600000002,114298.2390909091
2024-11,637807.991882275,2616440.5136084366,1187669.4261497979,827547299.7721249,127497.08622994999,9052637.661998,19.0,33568.84167801447,137707.39545307562,62508.91716577883,43555121.04063815,6710.372959471052,476454.6137893684,19.0,2036474.66,107182.87684210525
2024-12,638107.8370189251,2664588.767261874,1148125.606015325,606970466.4607754,141750.96414625,10424784.628453251,21.0,30386.08747709167,126885.17939342257,54672.64790549167,28903355.545751207,6750.04591172619,496418.315640631,21.0,2325707.74,110747.98761904764
2025-01,720405.569487375,3079892.87746349,1303775.237354551,670181907.2120798,191952.98458239503,12417276.480214318,23.0,31321.98128205978,133908.38597667348,56685.87988498048,29138343.791829556,8345.781938365002,539881.5860962747,23.0,2343088.96,101873.43304347826
2025-02,653482.014681375,2544252.8331745774,1038654.891929601,562388747.9832296,148475.21684969502,9599723.467469195,20.0,32674.10073406875,127212.64165872887,51932.74459648005,28119437.39916148,7423.760842484751,479986.1733734597,20.0,1932713.3499999999,96635.6675
2025-03,590477.8999999999,2390663.1300000004,1080313.24,657752311.5699999,125344.50990433486,8572581.722882716,19.0,31077.78421052631,125824.37526315791,56858.591578947366,34618542.714210525,6597.079468649204,451188.51173066924,19.0,1982197.0,104326.15789473684
2025-04,723057.3067248252,2660085.734963578,1246073.61417805,687252346.5772781,152926.21197032498,8954385.665139575,19.0,38055.64772235922,140004.51236650412,65582.82179884474,36171176.13564622,8048.747998438157,471283.4560599776,19.0,2019167.7386025442,106271.98624223917
2025-05,809929.1436970499,2731845.0060678823,1419597.531096875,717214960.2371471,165481.045676315,10293655.66406287,21.0,38568.05446176428,130087.85743180392,67599.88243318452,34153093.344626054,7880.0497941102385,490174.07924108906,21.0,2490825.39,118610.73285714287
2025-06,672156.3124190001,2700924.688306345,1172455.996042001,712440947.7636924,149906.548720615,10457544.43838824,21.0,32007.443448523813,128615.4613479212,55831.237906761955,33925759.41731869,7138.407081934049,497978.3065899162,21.0,2549068.53,121384.2157142857
2025-07,555856.2663917999,2653047.0577230556,1148368.3028490508,863321827.1149993,141397.86377728498,10021462.416341025,23.0,24167.663756165213,115349.87207491546,49929.05664561091,37535731.61369562,6147.733207708043,435715.7572322185,23.0,2350248.19,102184.70391304347
2025-08,504732.60087509995,2299954.812315957,1115930.5810035751,776539823.7843038,110086.05662128002,8413401.925082395,19.0,26564.873730268417,121050.25327978721,58733.188473872375,40870517.041279145,5794.002980067369,442810.62763591553,19.0,1951627.96,102717.26105263158
2025-09,508516.3884154499,2520395.417643522,1279541.0253427,945914583.996768,137236.192400005,10459465.526373314,22.0,23114.381291611357,114563.42807470555,58160.95569739546,42996117.45439854,6238.008745454773,475430.251198787,22.0,2333227.36,106055.78909090908
2025-10,592606.4837531,2711835.433171653,1472226.181071625,1050081210.8623968,142690.524844035,9886996.378347035,21.0,28219.35636919524,129135.02062722159,70106.00862245834,50003867.18392366,6794.7868973350005,470809.35134985886,21.0,2234448.9299999997,106402.32999999999
2025-11,529357.64806165,2495181.6535409237,1276409.445228675,900448377.261079,123624.329703137,9763222.38770608,19.0,27860.92884535,131325.3501863644,67179.44448571974,47392019.85584626,6506.543668586158,513853.8098792674,19.0,2144575.46,112872.39263157894
2025-12,530926.11975855,2564644.265613903,1359825.35799325,1024889931.6833436,133042.35462428702,10598988.192577977,22.0,24133.00544357045,116574.7393460865,61810.24354514773,46585905.98560653,6047.37975564941,481772.19057172624,22.0,2234349.79,101561.3540909091
2026-01,588877.14767895,3030662.9516947246,1728531.725954,1169143151.7597044,176099.9578364,11920411.849438986,20.0,29443.8573839475,151533.14758473623,86426.58629769999,58457157.58798522,8804.99789182,596020.5924719493,20.0,2572255.51,128612.77549999999
2026-02,612172.4560188502,2959277.127569626,1816032.643245525,1064340468.0604455,187214.511593895,12313243.208110394,21.0,29151.06933423096,140917.95845569647,86477.74491645356,50682879.431449786,8914.976742566429,586344.9146719235,21.0,2590129.49,123339.49952380953
2026-03,801696.51331415,2709259.9044002304,2252470.9050238,968505509.1322739,157394.80983938,9153738.76895488,19.0,42194.55333232369,142592.62654738055,118551.10026441053,50973974.16485652,8283.937359967369,481775.7246818358,19.0,2556339.43,134544.1805263158
