month,d,t,post,t_post,cf
2022-04,3.6683585494686373,0,0,0,4.033453714406857
2022-05,3.8673246945674293,1,0,0,4.05542202461829
2022-06,4.084660115547782,2,0,0,4.0773903348297225
2022-07,3.845143247228778,3,0,0,4.099358645041155
2022-08,3.8800913463469797,4,0,0,4.121326955252588
2022-09,3.9920434292345224,5,0,0,4.14329526546402
2022-10,4.203081159697453,6,0,0,4.165263575675453
2022-11,3.9931122129080467,7,0,0,4.187231885886885
2022-12,4.337990510297129,8,0,0,4.209200196098318
2023-01,4.451701445296683,9,0,0,4.231168506309751
2023-02,4.388920081226811,10,0,0,4.253136816521184
2023-03,4.7071850549859615,11,0,0,4.275105126732616
2023-04,4.624895536761441,12,0,0,4.297073436944048
2023-05,4.517156983126098,13,0,0,4.319041747155481
2023-06,4.412547030512698,14,0,0,4.341010057366914
2023-07,4.377228347865472,15,0,0,4.3629783675783465
2023-08,4.531961515373032,16,0,0,4.384946677789779
2023-09,4.560320549276691,17,0,0,4.406914988001212
2023-10,4.668415406254212,18,0,0,4.428883298212645
2023-11,4.636761343902446,19,0,0,4.4508516084240775
2023-12,4.467489275011497,20,0,0,4.47281991863551
2024-01,4.5819841562406065,21,0,0,4.494788228846942
2024-02,4.563076221761996,22,0,0,4.516756539058375
2024-03,4.598796461327893,23,0,0,4.538724849269808
2024-04,4.4815136440653625,24,0,0,4.56069315948124
2024-05,4.439605044909484,25,0,0,4.582661469692673
2024-06,4.420255529448971,26,0,0,4.604629779904106
2024-07,4.501915466921643,27,0,0,4.626598090115539
2024-08,4.489794803377551,28,0,0,4.64856640032697
2024-09,4.457224881244347,29,0,0,4.670534710538403
2024-10,4.501775350741058,30,0,0,4.692503020749836
2024-11,4.51541009585144,31,1,1,4.714471330961269
2024-12,4.064294026620935,32,1,2,4.736439641172701
2025-01,3.9884604113843096,33,1,3,4.758407951384134
2025-02,4.070459040567171,34,1,4,4.780376261595567
2025-03,4.340259495819614,35,1,5,4.802344571807
2025-04,4.340558110766176,36,1,6,4.8243128820184324
2025-05,4.243847850227732,37,1,7,4.846281192229864
2025-06,4.221373354623678,38,1,8,4.868249502441297
2025-07,4.4560585035289115,39,1,9,4.89021781265273
2025-08,4.525022025822823,40,1,10,4.912186122864163
2025-09,4.5046449127909085,41,1,11,4.934154433075595
2025-10,4.665402387228781,42,1,12,4.956122743287028
2025-11,4.5242703276140634,43,1,13,4.978091053498461
2025-12,4.571581959051233,44,1,14,5.000059363709893
2026-01,4.585774198402239,45,1,15,5.022027673921325
2026-02,4.459435240738191,46,1,16,5.043995984132758
2026-03,4.661591766686435,47,1,17,5.065964294344191
